rho_box,zeta_box,safe_box,diag_box_floor_abs,mu_mirror_over_box,induced_anchor_lower_bound
0.4600000000000001,1.0100000000000002,1,7.345903352407648e-05,0.7520553650494726,1.82137732509457e-05
0.4600000000000001,1.0200000000000002,1,6.95443712815707e-05,0.7520553650494726,1.724315375027299e-05
0.4600000000000001,1.0300000000000002,1,7.592165526742224e-05,0.7520553650494726,1.8824367100120794e-05
0.4600000000000001,1.0400000000000003,1,7.90545002305774e-05,0.7588802746752938,1.9061599381278743e-05
0.4600000000000001,1.0500000000000003,1,7.590557011462597e-05,0.7588802746752938,1.8302330216653838e-05
0.4600000000000001,1.0600000000000003,1,8.13614011036904e-05,0.7588802746752938,1.9617838686155076e-05
0.4600000000000001,1.0700000000000003,1,8.43256274041985e-05,0.767019401794089,1.964623511671893e-05
0.4600000000000001,1.0800000000000003,1,8.191075645552732e-05,0.767019401794089,1.908361703850744e-05
0.4600000000000001,1.0900000000000003,1,8.6464011770166e-05,0.767019401794089,2.01444371854962e-05
0.4600000000000001,1.1000000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4600000000000001,1.1100000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4600000000000001,1.1200000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4600000000000001,1.1300000000000003,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4600000000000001,1.1400000000000003,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4600000000000001,1.1500000000000004,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4600000000000001,1.1600000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4600000000000001,1.1700000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4600000000000001,1.1800000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4600000000000001,1.1900000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4600000000000001,1.2000000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4600000000000001,1.2100000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4700000000000001,0.8,0,,,
0.4700000000000001,0.81,0,,,
0.4700000000000001,0.8200000000000001,0,,,
0.4700000000000001,0.8300000000000001,0,,,
0.4700000000000001,0.8400000000000001,0,,,
0.4700000000000001,0.8500000000000001,0,,,
0.4700000000000001,0.8600000000000001,0,,,
0.4700000000000001,0.8700000000000001,0,,,
0.4700000000000001,0.8800000000000001,0,,,
0.4700000000000001,0.8900000000000001,1,4.85408288549683e-05,0.7398592795622216,1.2627446188978354e-05
0.4700000000000001,0.9000000000000001,1,4.129351140161923e-05,0.7612809931955713,9.857546029261896e-06
0.4700000000000001,0.9100000000000001,1,5.1463135364457834e-05,0.7398592795622216,1.338765710969697e-05
0.4700000000000001,0.9200000000000002,1,5.507064246669828e-05,0.7404323322687998,1.4294558225539663e-05
0.4700000000000001,0.9300000000000002,1,4.869149736859597e-05,0.7404323322687998,1.2638738410306328e-05
0.4700000000000001,0.9400000000000002,1,5.7905993918254213e-05,0.7404323322687998,1.503052378901831e-05
0.4700000000000001,0.9500000000000002,1,6.142889281214558e-05,0.7427306421011043,1.5803771810220784e-05
0.4700000000000001,0.9600000000000002,1,5.5896554595739445e-05,0.7427306421011043,1.4380470709606455e-05
0.4700000000000001,0.9700000000000002,1,6.415749433364756e-05,0.7427306421011043,1.6505757371619547e-05
0.4700000000000001,0.9800000000000002,1,6.757172570999329e-05,0.7466396336303202,1.7119997182115415e-05
0.4700000000000001,0.9900000000000002,1,6.286178832531306e-05,0.7466396336303202,1.5926685720754582e-05
0.4700000000000001,1.0000000000000002,1,7.017550193941292e-05,0.7466396336303202,1.7779690881545838e-05
0.4700000000000001,1.0100000000000002,1,7.345903352407648e-05,0.7520553650494726,1.82137732509457e-05
0.4700000000000001,1.0200000000000002,1,6.95443712815707e-05,0.7520553650494726,1.724315375027299e-05
0.4700000000000001,1.0300000000000002,1,7.592165526742224e-05,0.7520553650494726,1.8824367100120794e-05
0.4700000000000001,1.0400000000000003,1,7.90545002305774e-05,0.7588802746752938,1.9061599381278743e-05
0.4700000000000001,1.0500000000000003,1,7.590557011462597e-05,0.7588802746752938,1.8302330216653838e-05
0.4700000000000001,1.0600000000000003,1,8.13614011036904e-05,0.7588802746752938,1.9617838686155076e-05
0.4700000000000001,1.0700000000000003,1,8.43256274041985e-05,0.767019401794089,1.964623511671893e-05
0.4700000000000001,1.0800000000000003,1,8.191075645552732e-05,0.767019401794089,1.908361703850744e-05
0.4700000000000001,1.0900000000000003,1,8.6464011770166e-05,0.767019401794089,2.01444371854962e-05
0.4700000000000001,1.1000000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4700000000000001,1.1100000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4700000000000001,1.1200000000000003,1,7.778921474097955e-05,0.776376887958148,1.739546628366976e-05
0.4700000000000001,1.1300000000000003,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4700000000000001,1.1400000000000003,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4700000000000001,1.1500000000000004,1,6.089752591721533e-05,0.7868527299534446,1.2980141401843804e-05
0.4700000000000001,1.1600000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4700000000000001,1.1700000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4700000000000001,1.1800000000000004,1,4.449532507360191e-05,0.7983397994548457,8.972936177664394e-06
0.4700000000000001,1.1900000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4700000000000001,1.2000000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4700000000000001,1.2100000000000004,1,2.866282363420186e-05,1.0256117871716253,
0.4800000000000001,0.8,0,,,
0.4800000000000001,0.81,0,,,
0.4800000000000001,0.8200000000000001,0,,,
0.4800000000000001,0.8300000000000001,0,,,
0.4800000000000001,0.8400000000000001,0,,,
0.4800000000000001,0.8500000000000001,0,,,
0.4800000000000001,0.8600000000000001,0,,,
0.4800000000000001,0.8700000000000001,0,,,
0.4800000000000001,0.8800000000000001,0,,,
0.4800000000000001,0.8900000000000001,1,4.85408288549683e-05,0.7398592795622216,1.2627446188978354e-05
0.4800000000000001,0.9000000000000001,1,4.129351140161923e-05,0.7612809931955713,9.857546029261896e-06
0.4800000000000001,0.9100000000000001,1,5.1463135364457834e-05,0.7398592795622216,1.338765710969697e-05
