width_peak,refamp_peak,center_D,sigma_D,D,eta,delta_mu,acceptance_mismatch,extra_width_beta,extra_refamp_beta,width_component,refamp_component
0.0,0.0,5.63,0.2,5.898305084745763,0.77,-13.033783990446778,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,0.96,-13.032316420181012,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,1.15,-13.030849387158916,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,1.34,-13.029382278677964,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,1.53,-13.027914871799616,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,1.72,-13.026447166470142,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,1.91,-13.024979162643547,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,2.1,-13.02351205437919,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,2.29,-13.022045722537882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,2.4800000000000004,-13.020579092519803,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,2.6700000000000004,-13.019112164269103,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,2.8600000000000003,-13.017644937754476,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,3.0500000000000003,-13.016177412907751,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,3.24,-13.014709589706662,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,3.43,-13.013241468088154,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,3.62,-13.01177304801756,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,3.81,-13.010304329444338,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,5.898305084745763,4.0,-13.008835312309223,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,0.2,-0.7906554960706131,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,0.39,-0.7886349930710566,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,0.5800000000000001,-0.7866142976205168,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,0.77,-0.7845938668794759,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,0.96,-0.7825732975518775,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,1.15,-0.7805532418536956,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,1.34,-0.778533182105221,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,1.53,-0.7765129299497033,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,1.72,-0.7744924854291213,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,1.91,-0.7724718485043383,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,2.1,-0.7704520277439286,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,2.29,-0.768432922542786,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,2.4800000000000004,-0.7664136251116247,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,2.6700000000000004,-0.7643941354834709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,2.8600000000000003,-0.7623744536072792,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,3.0500000000000003,-0.76035457945828,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,3.24,-0.7583345130212109,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,3.43,-0.7563142542729508,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,3.62,-0.75429380319801,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,3.81,-0.7522731597469061,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.169491525423729,4.0,-0.7502523239387244,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,0.2,30.243964462376354,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,0.39,30.244042938605986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,0.5800000000000001,30.24412141671715,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,0.77,30.24419989198092,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,0.96,30.244278368431985,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,1.15,30.244356839473568,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,1.34,30.24443531047038,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,1.53,30.244513783146957,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,1.72,30.24459225774099,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,1.91,30.24467073420528,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,2.1,30.244749201998246,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,2.29,30.24482766228089,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,2.4800000000000004,30.244906124360625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,2.6700000000000004,30.24498458830397,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,2.8600000000000003,30.245063054100264,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,3.0500000000000003,30.245141521719688,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,3.24,30.24521999119211,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,3.43,30.245298462536567,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,3.62,30.24537693571719,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,3.81,30.245455410707457,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.4406779661016955,4.0,30.245533887575135,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,0.2,-0.21506726694990164,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,0.39,-0.2150477368956345,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,0.5800000000000001,-0.21502820635199527,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,0.77,-0.21500867639369758,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,0.96,-0.21498914651317236,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,1.15,-0.21496961784761837,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,1.34,-0.21495008932934923,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,1.53,-0.2149305606284031,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,1.72,-0.21491103168192893,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,1.91,-0.2148915024321738,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,2.1,-0.21487197516006162,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,2.29,-0.21485244962616434,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,2.4800000000000004,-0.21483292379129537,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,2.6700000000000004,-0.21481339775447594,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,2.8600000000000003,-0.21479387145373963,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,3.0500000000000003,-0.21477434492117453,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,3.24,-0.214754818123712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,3.43,-0.21473529105387712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,3.62,-0.21471576372706025,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,3.81,-0.2146962361957776,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.63,0.2,6.711864406779661,4.0,-0.21467670837245834,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,0.2,14.001223580246943,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,0.39,14.002086132355359,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,0.5800000000000001,14.002948988771983,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,0.77,14.003811551430914,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,0.96,14.004674348055325,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,1.15,14.00553652542807,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,1.34,14.006398760729752,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,1.53,14.007261300306986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,1.72,14.008124144250488,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,1.91,14.008987292617093,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,2.1,14.009849425815986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,2.29,14.010710675461276,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,2.4800000000000004,14.011572229196723,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,2.6700000000000004,14.012434087101632,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,2.8600000000000003,14.013296249246693,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,3.0500000000000003,14.014158715704284,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,3.24,14.015021486542395,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,3.43,14.01588456183822,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,3.62,14.016747941664853,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,3.81,14.017611626092709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.627118644067797,4.0,14.018475615194689,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,0.2,-13.038186183831364,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,0.39,-13.036718904166172,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,0.5800000000000001,-13.035251325943428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,0.77,-13.033783990446778,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,0.96,-13.032316420181012,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,1.15,-13.030849387158916,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,1.34,-13.029382278677964,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,1.53,-13.027914871799616,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,1.72,-13.026447166470142,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,1.91,-13.024979162643547,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,2.1,-13.02351205437919,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,2.29,-13.022045722537882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,2.4800000000000004,-13.020579092519803,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,2.6700000000000004,-13.019112164269103,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,2.8600000000000003,-13.017644937754476,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,3.0500000000000003,-13.016177412907751,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,3.24,-13.014709589706662,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,3.43,-13.013241468088154,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,3.62,-13.01177304801756,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,3.81,-13.010304329444338,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,5.898305084745763,4.0,-13.008835312309223,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,0.2,-0.7906554960706131,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,0.39,-0.7886349930710566,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,0.5800000000000001,-0.7866142976205168,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,0.77,-0.7845938668794759,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,0.96,-0.7825732975518775,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,1.15,-0.7805532418536956,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,1.34,-0.778533182105221,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,1.53,-0.7765129299497033,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,1.72,-0.7744924854291213,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,1.91,-0.7724718485043383,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,2.1,-0.7704520277439286,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,2.29,-0.768432922542786,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,2.4800000000000004,-0.7664136251116247,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,2.6700000000000004,-0.7643941354834709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,2.8600000000000003,-0.7623744536072792,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,3.0500000000000003,-0.76035457945828,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,3.24,-0.7583345130212109,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,3.43,-0.7563142542729508,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,3.62,-0.75429380319801,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,3.81,-0.7522731597469061,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.169491525423729,4.0,-0.7502523239387244,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,0.2,30.243964462376354,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,0.39,30.244042938605986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,0.5800000000000001,30.24412141671715,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,0.77,30.24419989198092,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,0.96,30.244278368431985,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,1.15,30.244356839473568,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,1.34,30.24443531047038,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,1.53,30.244513783146957,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,1.72,30.24459225774099,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,1.91,30.24467073420528,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,2.1,30.244749201998246,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,2.29,30.24482766228089,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,2.4800000000000004,30.244906124360625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,2.6700000000000004,30.24498458830397,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,2.8600000000000003,30.245063054100264,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,3.0500000000000003,30.245141521719688,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,3.24,30.24521999119211,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,3.43,30.245298462536567,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,3.62,30.24537693571719,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,3.81,30.245455410707457,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.4406779661016955,4.0,30.245533887575135,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,0.2,-0.21506726694990164,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,0.39,-0.2150477368956345,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,0.5800000000000001,-0.21502820635199527,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,0.77,-0.21500867639369758,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,0.96,-0.21498914651317236,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,1.15,-0.21496961784761837,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,1.34,-0.21495008932934923,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,1.53,-0.2149305606284031,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,1.72,-0.21491103168192893,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,1.91,-0.2148915024321738,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,2.1,-0.21487197516006162,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,2.29,-0.21485244962616434,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,2.4800000000000004,-0.21483292379129537,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,2.6700000000000004,-0.21481339775447594,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,2.8600000000000003,-0.21479387145373963,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,3.0500000000000003,-0.21477434492117453,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,3.24,-0.214754818123712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,3.43,-0.21473529105387712,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,3.62,-0.21471576372706025,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,3.81,-0.2146962361957776,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.1,6.711864406779661,4.0,-0.21467670837245834,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,0.2,14.001223580246943,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,0.39,14.002086132355359,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,0.5800000000000001,14.002948988771983,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,0.77,14.003811551430914,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,0.96,14.004674348055325,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,1.15,14.00553652542807,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,1.34,14.006398760729752,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,1.53,14.007261300306986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,1.72,14.008124144250488,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,1.91,14.008987292617093,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,2.1,14.009849425815986,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,2.29,14.010710675461276,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,2.4800000000000004,14.011572229196723,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,2.6700000000000004,14.012434087101632,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,2.8600000000000003,14.013296249246693,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,3.0500000000000003,14.014158715704284,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,3.24,14.015021486542395,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,3.43,14.01588456183822,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,3.62,14.016747941664853,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,3.81,14.017611626092709,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.627118644067797,4.0,14.018475615194689,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,0.2,-13.038186183831364,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,0.39,-13.036718904166172,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,0.5800000000000001,-13.035251325943428,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,0.77,-13.033783990446778,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,0.96,-13.032316420181012,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,1.15,-13.030849387158916,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,1.34,-13.029382278677964,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,1.53,-13.027914871799616,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,1.72,-13.026447166470142,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,1.91,-13.024979162643547,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,2.1,-13.02351205437919,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,2.29,-13.022045722537882,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,2.4800000000000004,-13.020579092519803,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,2.6700000000000004,-13.019112164269103,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,2.8600000000000003,-13.017644937754476,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,3.0500000000000003,-13.016177412907751,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,3.24,-13.014709589706662,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,3.43,-13.013241468088154,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,3.62,-13.01177304801756,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,3.81,-13.010304329444338,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,5.898305084745763,4.0,-13.008835312309223,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,0.2,-0.7906554960706131,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,0.39,-0.7886349930710566,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,0.5800000000000001,-0.7866142976205168,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,0.77,-0.7845938668794759,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,0.96,-0.7825732975518775,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,1.15,-0.7805532418536956,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,1.34,-0.778533182105221,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,1.53,-0.7765129299497033,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,1.72,-0.7744924854291213,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5.76,0.15,6.169491525423729,1.91,-0.7724718485043383,0.0,0.0,0.0,0.0,0.0
