combo_id,placement,peak,center_D,width_D,region,D,slice_p95_abs_delta_base,slice_p95_abs_delta_runtime,slice_p95_abs_delta_guard,slice_improved_fraction_vs_base,slice_improved_fraction_vs_runtime
93,mu_linear_blend,0.99,7.95,0.05,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
93,mu_linear_blend,0.99,7.95,0.05,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
93,mu_linear_blend,0.99,7.95,0.05,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
93,mu_linear_blend,0.99,7.95,0.05,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
93,mu_linear_blend,0.99,7.95,0.05,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
93,mu_linear_blend,0.99,7.95,0.05,D21_guard,8.0,0.3226590996076344,1.7769700652865041,0.9037067177403846,0.0,1.0
94,mu_linear_blend,0.99,7.95,0.1,D60_hotspot,4.813559322033898,8.950884564633627,8.950884564268902,8.950884564268902,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D60_hotspot,5.627118644067797,10.271915904250342,10.26544987759138,10.26544987759138,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D60_hotspot,6.169491525423728,25.887561191706766,18.58747931966137,18.58747931966137,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D60_hotspot,6.4406779661016955,31.28630580743782,4.809317775030706,4.809317775030706,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D60_hotspot,6.711864406779661,7.462467784829663,0.8134211570183147,0.8134211570183147,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D21_guard,4.0,0.9136772062233662,0.9136772062234826,0.9136772062234826,0.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D21_guard,6.4,2.1022273869561374,0.33294416226203083,0.33294416226203083,1.0,0.0
94,mu_linear_blend,0.99,7.95,0.1,D21_guard,8.0,0.3226590996076344,1.7769700652865041,0.5063793919061528,0.0,1.0
